Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,02/17/2026,"Zelle payment to PAWARISORN JPM99c5y97be",-4600.00,CHASE_TO_PARTNERFI,47515.29,,
CREDIT,02/17/2026,"Zelle payment from PHONG NGUYEN BACd14ka8iq5",2500.00,PARTNERFI_TO_CHASE,52115.29,,
CREDIT,02/13/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",2078.36,ACH_CREDIT,49615.29,,
DEBIT,02/12/2026,"Payment to Chase card ending in 8045 02/12",-1595.15,LOAN_PMT,47536.93,,
DEBIT,02/10/2026,"Payment to Chase card ending in 8045 02/10",-1672.76,LOAN_PMT,49132.08,,
CREDIT,02/10/2026,"Zelle payment from DAN DAILY LLC 28020026196",1000.00,QUICKPAY_CREDIT,50804.84,,
CREDIT,02/09/2026,"Zelle payment from DAN DAILY LLC 28008463135",5000.00,QUICKPAY_CREDIT,49804.84,,
DEBIT,02/06/2026,"Payment to Chase card ending in 8045 02/06",-1686.15,LOAN_PMT,44804.84,,
CREDIT,02/03/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",10200.76,ACH_CREDIT,46490.99,,
DEBIT,02/02/2026,"CITI AUTOPAY     PAYMENT    291923243480021 WEB ID: CITICARDAP",-559.83,ACH_DEBIT,36290.23,,
CREDIT,01/30/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1897.22,ACH_CREDIT,36850.06,,
DEBIT,01/28/2026,"Zelle payment to NEHA JAIN JPM99c3hul2g",-375.00,CHASE_TO_PARTNERFI,34952.84,,
DEBIT,01/27/2026,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-28.10,ACH_DEBIT,35327.84,,
DEBIT,01/21/2026,"TARGET DEBIT CRD ACH TRAN   000002290796764 POS ID: 6510215171",-11.10,ACH_DEBIT,35355.94,,
CREDIT,01/15/2026,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1897.24,ACH_CREDIT,35367.04,,
DEBIT,01/13/2026,"TARGET DEBIT CRD ACH TRAN   000002290750962 POS ID: 6510215171",-38.97,ACH_DEBIT,33469.80,,
DEBIT,01/12/2026,"TARGET DEBIT CRD ACH TRAN   000002290750048 POS ID: 6510215171",-20.66,ACH_DEBIT,33508.77,,
DEBIT,01/05/2026,"TARGET DEBIT CRD ACH TRAN   912003191129996 WEB ID: 6510215171",-100.00,ACH_DEBIT,33529.43,,
DEBIT,01/02/2026,"CITI AUTOPAY     PAYMENT    291896454010094 WEB ID: CITICARDAP",-450.52,ACH_DEBIT,33629.43,,
CREDIT,12/31/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.20,ACH_CREDIT,34079.95,,
DEBIT,12/23/2025,"Payment to Chase card ending in 8045 12/23",-2000.00,LOAN_PMT,32202.75,,
DEBIT,12/22/2025,"TARGET DEBIT CRD ACH TRAN   000002290752750 POS ID: 6510215171",-28.24,ACH_DEBIT,34202.75,,
CREDIT,12/19/2025,"Zelle payment from ROBOSKILLZ PRODUCTIONS LLC 27397531085",1000.00,QUICKPAY_CREDIT,34230.99,,
CREDIT,12/19/2025,"Zelle payment from ROBOSKILLZ PRODUCTIONS LLC 27382548257",1000.00,QUICKPAY_CREDIT,33230.99,,
DEBIT,12/17/2025,"Zelle payment to Ian Teraoka JPM99byr9q83",-110.00,CHASE_TO_PARTNERFI,32230.99,,
DEBIT,12/16/2025,"ATM WITHDRAWAL                       002691  12/1612991 BEA",-1000.00,ATM,32340.99,,
DEBIT,12/15/2025,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,33340.99,,
CREDIT,12/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.18,ACH_CREDIT,33355.99,,
CREDIT,12/15/2025,"BOOK TRANSFER CREDIT B/O: DBS BANK LTD SINGAPORE SINGAPORE 01898-2 SG ORG:/1200459435 HARDIANTO SUDARGA OGB: DBS BANK LTD 12 MARINA BOULEVARD LEVEL 44 REF:/ROC/MB51213001133273/OCMT/USD5200,/ TRN: 2279756346JS",5200.00,WIRE_INCOMING,31478.81,,
CREDIT,12/08/2025,"Zelle payment from HUY TRAN BACncxijxhon",2000.00,PARTNERFI_TO_CHASE,26278.81,,
DEBIT,12/04/2025,"Payment to Chase card ending in 0687 12/04",-285.68,LOAN_PMT,24278.81,,
DEBIT,12/01/2025,"CITI AUTOPAY     PAYMENT    291867947560088 WEB ID: CITICARDAP",-692.20,ACH_DEBIT,24564.49,,
DEBIT,11/28/2025,"Zelle payment to PHUONG 27130907391",-2000.00,QUICKPAY_DEBIT,25256.69,,
CREDIT,11/26/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,27256.69,,
DEBIT,11/25/2025,"Payment to Chase card ending in 8045 11/25",-394.66,LOAN_PMT,25379.50,,
CREDIT,11/14/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,25774.16,,
DEBIT,11/03/2025,"ATM WITHDRAWAL                       008279  11/0112991 BEA",-2000.00,ATM,23896.97,,
DEBIT,11/03/2025,"ATM WITHDRAWAL                       006308  11/0112991 BEA",-1000.00,ATM,25896.97,,
DEBIT,11/03/2025,"CITI AUTOPAY     PAYMENT    291843713090674 WEB ID: CITICARDAP",-266.21,ACH_DEBIT,26896.97,,
CREDIT,10/31/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,27163.18,,
DEBIT,10/27/2025,"Payment to Chase card ending in 0687 10/27",-28.96,LOAN_PMT,25285.99,,
CREDIT,10/27/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",2000.00,MISC_CREDIT,25314.95,,
CREDIT,10/24/2025,"Zelle payment from REYNIR SIGURVIN BRYNJOLFSSON 26698295269",60.00,QUICKPAY_CREDIT,23314.95,,
DEBIT,10/22/2025,"TARGET DEBIT CRD ACH TRAN   000002290734636 POS ID: 6510215171",-24.56,ACH_DEBIT,23254.95,,
CREDIT,10/17/2025,"Zelle payment from HUY TRAN BACj9qi5vxxu",641.00,PARTNERFI_TO_CHASE,23279.51,,
DEBIT,10/16/2025,"Zelle payment to REYNIR 26614700142",-60.00,QUICKPAY_DEBIT,22638.51,,
CREDIT,10/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.18,ACH_CREDIT,22698.51,,
DEBIT,10/14/2025,"Payment to Chase card ending in 0687 10/14",-194.03,LOAN_PMT,20821.33,,
DEBIT,10/14/2025,"TARGET DEBIT CRD ACH TRAN   000002290730455 POS ID: 6510215171",-130.60,ACH_DEBIT,21015.36,,
CREDIT,10/08/2025,"Zelle payment from REYNIR SIGURVIN BRYNJOLFSSON 26516286976",50.00,QUICKPAY_CREDIT,21145.96,,
CREDIT,10/08/2025,"Zelle payment from REYNIR SIGURVIN BRYNJOLFSSON 26516299973",350.00,QUICKPAY_CREDIT,21095.96,,
DEBIT,10/06/2025,"TARGET DEBIT CRD ACH TRAN   000001930779388 POS ID: 6510215171",-15.48,ACH_DEBIT,20745.96,,
DEBIT,10/02/2025,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,20761.44,,
CREDIT,10/02/2025,"Wise Inc         6389Refund                 PPD ID: 453233521",1556.11,ACH_CREDIT,20776.44,,
CREDIT,10/02/2025,"BOOK TRANSFER CREDIT B/O: DBS BANK LTD SINGAPORE SINGAPORE 01898-2 SG ORG:/1200459435 HARDIANTO SUDARGA OGB: DBS BANK LTD 12 MARINA BOULEVARD LEVEL 44 REF:/ROC/MB75941819896798/OCMT/USD5444,/ TRN: 2165010275JS",5444.00,WIRE_INCOMING,19220.33,,
DEBIT,10/01/2025,"CITI AUTOPAY     PAYMENT    291816929070263 WEB ID: CITICARDAP",-309.68,ACH_DEBIT,13776.33,,
DEBIT,09/30/2025,"ATM WITHDRAWAL                       005421  09/3012991 BEA",-2000.00,ATM,14086.01,,
CREDIT,09/30/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.20,ACH_CREDIT,16086.01,,
DEBIT,09/29/2025,"ATM WITHDRAWAL                       001165  09/2912991 BEA",-1000.00,ATM,14208.81,,
DEBIT,09/29/2025,"Zelle payment to Eric 26389592077",-1500.00,QUICKPAY_DEBIT,15208.81,,
DEBIT,09/29/2025,"Zelle payment to Eric 26380398570",-500.00,QUICKPAY_DEBIT,16708.81,,
DEBIT,09/29/2025,"Zelle payment to JOVAN JPM99bosk5k8",-500.00,CHASE_TO_PARTNERFI,17208.81,,
DEBIT,09/23/2025,"TARGET DEBIT CRD ACH TRAN   000002291604619 POS ID: 6510215171",-36.37,ACH_DEBIT,17708.81,,
DEBIT,09/22/2025,"Zelle payment to Card JPM99bo32404",-350.00,CHASE_TO_PARTNERFI,17745.18,,
DEBIT,09/22/2025,"Zelle payment to DANG NGUYEN JPM99bo1fjjm",-21.00,CHASE_TO_PARTNERFI,18095.18,,
DEBIT,09/22/2025,"Zelle payment to EDUARDO JPM99bnykdox",-1000.00,CHASE_TO_PARTNERFI,18116.18,,
DEBIT,09/22/2025,"Zelle payment to EDUARDO JPM99bnyjy3t",-275.00,CHASE_TO_PARTNERFI,19116.18,,
DEBIT,09/18/2025,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,19391.18,,
CREDIT,09/18/2025,"BOOK TRANSFER CREDIT B/O: DBS BANK LTD SINGAPORE SINGAPORE 01898-2 SG ORG:/1200459435 HARDIANTO SUDARGA OGB: DBS BANK LTD 12 MARINA BOULEVARD LEVEL 44 REF:/ROC/MB75813638410548/OCMT/USD4670,/ TRN: 2197897260JS",4670.00,WIRE_INCOMING,19406.18,,
DEBIT,09/16/2025,"Payment to Chase card ending in 0687 09/16",-35.34,LOAN_PMT,14736.18,,
DEBIT,09/15/2025,"Zelle payment to KEVIN TAING 26224508045",-500.00,QUICKPAY_DEBIT,14771.52,,
DEBIT,09/15/2025,"Zelle payment to DAVID JPM99bn9juxf",-220.00,CHASE_TO_PARTNERFI,15271.52,,
DEBIT,09/15/2025,"Zelle payment to JanSun LLC 26223784027",-590.00,QUICKPAY_DEBIT,15491.52,,
DEBIT,09/15/2025,"Zelle payment to Park JPM99bn6fogi",-200.00,CHASE_TO_PARTNERFI,16081.52,,
DEBIT,09/15/2025,"Zelle payment to EDWARD JPM99bn5xiyv",-350.00,CHASE_TO_PARTNERFI,16281.52,,
CREDIT,09/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,16631.52,,
CREDIT,09/12/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",19.29,ACH_CREDIT,14754.33,,
DEBIT,09/10/2025,"Zelle payment to Challengersalesgroup 26177977717",-2000.00,QUICKPAY_DEBIT,14735.04,,
DEBIT,09/10/2025,"Zelle payment to Ian Teraoka JPM99bmqcrhf",-450.00,CHASE_TO_PARTNERFI,16735.04,,
DEBIT,09/09/2025,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,17185.04,,
CREDIT,09/09/2025,"BOOK TRANSFER CREDIT B/O: DBS BANK LTD SINGAPORE SINGAPORE 01898-2 SG ORG:/1620080214 ANUSARN SANGNIMNUAN OGB: KRUNG THAI BANK PUBLIC COMPANY LIMITED REF:/ROC/XB25090967149537/OCMT/USD4000,/ TRN: 2051031252JS",4000.00,WIRE_INCOMING,17200.04,,
CREDIT,09/08/2025,"Zelle payment from ANUSARN SANGNIMNUAN 26147786846",500.00,QUICKPAY_CREDIT,13200.04,,
CREDIT,09/05/2025,"Zelle payment from ANUSARN SANGNIMNUAN 26125576489",500.00,QUICKPAY_CREDIT,12700.04,,
CREDIT,09/03/2025,"Zelle payment from PAWARISORN BOONYUBOL TDP0JH8U64KF",2500.00,PARTNERFI_TO_CHASE,12200.04,,
DEBIT,09/02/2025,"TARGET DEBIT CRD ACH TRAN   000002290775159 POS ID: 6510215171",-49.09,ACH_DEBIT,9700.04,,
DEBIT,09/02/2025,"CITI AUTOPAY     PAYMENT    291789282480307 WEB ID: CITICARDAP",-574.45,ACH_DEBIT,9749.13,,
CREDIT,09/02/2025,"Zelle payment from PAWARISORN BOONYUBOL TDP0JH8U64HO",1000.00,PARTNERFI_TO_CHASE,10323.58,,
CREDIT,08/29/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,9323.58,,
DEBIT,08/28/2025,"COLLECTORS UNIVERSE, I SANTA ANA CA  720909  08/29",1233.15,DEBIT_CARD,7446.39,,
DEBIT,08/20/2025,"Payment to Chase card ending in 6049 08/20",-95.00,LOAN_PMT,6213.24,,
DEBIT,08/20/2025,"Payment to Chase card ending in 8045 08/20",-79.39,LOAN_PMT,6308.24,,
DEBIT,08/18/2025,"WITHDRAWAL 08/18",-3500.00,MISC_DEBIT,6387.63,,
CREDIT,08/18/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",4000.00,MISC_CREDIT,9887.63,,
CREDIT,08/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,5887.63,,
DEBIT,08/11/2025,"Payment to Chase card ending in 8045 08/11",-420.47,LOAN_PMT,4010.44,,
DEBIT,08/08/2025,"Wise Inc         WISE       TrnWise         WEB ID: 9453233521",-782.73,MISC_DEBIT,4430.91,,
DEBIT,08/01/2025,"CITI AUTOPAY     PAYMENT    291764233450047 WEB ID: CITICARDAP",-684.54,ACH_DEBIT,5213.64,,
DSLIP,08/01/2025,"DEPOSIT  ID NUMBER  52764",2600.00,DEPOSIT,5898.18,,
DEBIT,07/31/2025,"Payment to Chase card ending in 0687 07/31",-169.32,LOAN_PMT,3298.18,,
CREDIT,07/31/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,3467.50,,
DEBIT,07/28/2025,"Zelle payment to KIET 25634663321",-15.00,QUICKPAY_DEBIT,1590.31,,
DEBIT,07/28/2025,"Zelle payment to KIET 25629311070",-38.25,QUICKPAY_DEBIT,1605.31,,
DEBIT,07/25/2025,"Zelle payment to DANG NGUYEN JPM99bgy0v57",-30.00,CHASE_TO_PARTNERFI,1643.56,,
DEBIT,07/25/2025,"Zelle payment to DIEGO JPM99bgwa6sx",-500.00,CHASE_TO_PARTNERFI,1673.56,,
DEBIT,07/24/2025,"Zelle payment to PAWAN JPM99bgse6zx",-700.00,CHASE_TO_PARTNERFI,2173.56,,
DEBIT,07/24/2025,"Zelle payment to PAWAN JPM99bgseeau",-300.00,CHASE_TO_PARTNERFI,2873.56,,
CREDIT,07/23/2025,"Zelle payment from Tin Nguyen COFDGCZBPOWG",2000.00,PARTNERFI_TO_CHASE,3173.56,,
DEBIT,07/22/2025,"APPLE CASH SENT MONE 1INFINITELOOP CA        07/21",-9.65,DEBIT_CARD,1173.56,,
DEBIT,07/21/2025,"ATM WITHDRAWAL                       007840  07/2015512 BRO",-100.00,ATM,1183.21,,
DEBIT,07/21/2025,"Zelle payment to DAN WINN JPM99bgglad7",-20.00,CHASE_TO_PARTNERFI,1283.21,,
DEBIT,07/21/2025,"Zelle payment to KEVIN 25555100624",-75.00,QUICKPAY_DEBIT,1303.21,,
DEBIT,07/21/2025,"Zelle payment to Jmar JPM99bgg9umm",-420.00,CHASE_TO_PARTNERFI,1378.21,,
DEBIT,07/17/2025,"ATM WITHDRAWAL                       000806  07/177964 BEAC",-1000.00,ATM,1798.21,,
DEBIT,07/16/2025,"Zelle payment to KO 25510379883",-500.00,QUICKPAY_DEBIT,2798.21,,
CREDIT,07/15/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.19,ACH_CREDIT,3298.21,,
DEBIT,07/14/2025,"Online Transfer to SAV ...6216 transaction#: 25483890744 07/14",-3000.00,ACCT_XFER,1421.02,,
DEBIT,07/14/2025,"Zelle payment to SALVADOR 25470836797",-650.00,QUICKPAY_DEBIT,4421.02,,
DEBIT,07/14/2025,"Payment to Chase card ending in 0687 07/14",-33.05,LOAN_PMT,5071.02,,
DEBIT,07/14/2025,"Zelle payment to Huy Dramaaa JPM99bfg4wfr",-147.44,CHASE_TO_PARTNERFI,5104.07,,
CREDIT,07/14/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1000.00,MISC_CREDIT,5251.51,,
CREDIT,07/14/2025,"Zelle payment from Brandon Gill Chan USBXX6WnNdTi",1501.00,PARTNERFI_TO_CHASE,4251.51,,
DEBIT,07/10/2025,"ATM WITHDRAWAL                       009079  07/1012991 BEA",-2000.00,ATM,2750.51,,
CREDIT,07/09/2025,"Zelle payment from PHONG NGUYEN BACertzeje4s",480.00,PARTNERFI_TO_CHASE,4750.51,,
DEBIT,07/08/2025,"ATM WITHDRAWAL                       006860  07/071001 S PA",-500.00,ATM,4270.51,,
DEBIT,07/07/2025,"Zelle payment to Op Card JPM99beq7lxd",-30.37,CHASE_TO_PARTNERFI,4770.51,,
DEBIT,07/07/2025,"APPLE CASH SENT MONE 1INFINITELOOP CA        07/05",-880.00,DEBIT_CARD,4800.88,,
DEBIT,07/07/2025,"ATM WITHDRAWAL                       002320  07/048901 VALL",-1000.00,ATM,5680.88,,
DEBIT,07/07/2025,"Zelle payment to Chris JPM99bek8wdj",-600.00,CHASE_TO_PARTNERFI,6680.88,,
DEBIT,07/07/2025,"Zelle payment to REYNIR 25367787408",-510.00,QUICKPAY_DEBIT,7280.88,,
DEBIT,07/07/2025,"Zelle payment to Op Card JPM99bejj7sn",-500.00,CHASE_TO_PARTNERFI,7790.88,,
DEBIT,07/07/2025,"Zelle payment to OP JPM99bejgqcc",-760.00,CHASE_TO_PARTNERFI,8290.88,,
CREDIT,07/07/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",3000.00,MISC_CREDIT,9050.88,,
CREDIT,07/03/2025,"BOOK TRANSFER CREDIT B/O: PT BANK DANAMON INDONESIA TBK JAKARTA INDONESIA 10160- ID ORG:/903666459023 HARDIANTO SUDARGA OGB: PT BANK DANAMON INDONESIA TBK ANTT MS SANDRA MR RUDHI OPS D REF:/URGP/FXA/ TRN: 0104332183IL",4540.00,WIRE_INCOMING,6050.88,,
DEBIT,07/02/2025,"Payment to Chase card ending in 0687 07/02",-75.58,LOAN_PMT,1510.88,,
DEBIT,07/01/2025,"CITI AUTOPAY     PAYMENT    291737446980017 WEB ID: CITICARDAP",-402.79,ACH_DEBIT,1586.46,,
DEBIT,06/30/2025,"Zelle payment to ISLA TESORO LLC 25300827815",-114.00,QUICKPAY_DEBIT,1989.25,,
DEBIT,06/30/2025,"Zelle payment to Charizard JPM99bdwloqb",-175.00,CHASE_TO_PARTNERFI,2103.25,,
DEBIT,06/30/2025,"Zelle payment to NIKHIL JPM99bdwl0pk",-425.00,CHASE_TO_PARTNERFI,2278.25,,
DEBIT,06/30/2025,"Zelle payment to CARLOS JPM99bdwfjty",-70.00,CHASE_TO_PARTNERFI,2703.25,,
DEBIT,06/30/2025,"Zelle payment to TYLER JPM99bdwf7w0",-575.00,CHASE_TO_PARTNERFI,2773.25,,
DEBIT,06/30/2025,"Zelle payment to BRASS TOWER TCG LLC JPM99bdwdr47",-160.00,CHASE_TO_PARTNERFI,3348.25,,
CREDIT,06/30/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.18,ACH_CREDIT,3508.25,,
DEBIT,06/23/2025,"Zelle payment to JUAN JPM99bd47x3n",-380.00,CHASE_TO_PARTNERFI,1631.07,,
DEBIT,06/20/2025,"Zelle payment to MUMMIFIED MUNCHIES LLC, COLLEGE STATION, TX 25188712883",-1250.00,QUICKPAY_DEBIT,2011.07,,
DEBIT,06/18/2025,"Zelle payment to JAEYOUNG JPM99bcm5dlf",-500.00,CHASE_TO_PARTNERFI,3261.07,,
DEBIT,06/18/2025,"Zelle payment to SHANE LEE JPM99bckcm2j",-1500.00,CHASE_TO_PARTNERFI,3761.07,,
DEBIT,06/18/2025,"Zelle payment to SHANE LEE JPM99bckcrps",-500.00,CHASE_TO_PARTNERFI,5261.07,,
CREDIT,06/18/2025,"Zelle payment from TIN NGUYEN BACn2zpbydc6",2000.00,PARTNERFI_TO_CHASE,5761.07,,
DEBIT,06/13/2025,"Zelle payment to WEST 25121992300",-500.00,QUICKPAY_DEBIT,3761.07,,
DEBIT,06/13/2025,"ATM WITHDRAWAL                       009941  06/1312991 BEA",-1000.00,ATM,4261.07,,
CREDIT,06/13/2025,"FPT USA CORP     PAYROLL                    PPD ID: 1260302465",1877.20,ACH_CREDIT,5261.07,,
DEBIT,06/12/2025,"Zelle payment to KYLE 25109072588",-1000.00,QUICKPAY_DEBIT,3383.87,,
DEBIT,06/12/2025,"Zelle payment to KYLE 25109082353",-1000.00,QUICKPAY_DEBIT,4383.87,,
DEBIT,06/11/2025,"Zelle payment to Kk JPM99bbsdyz0",-285.00,CHASE_TO_PARTNERFI,5383.87,,
CREDIT,06/11/2025,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1500.00,MISC_CREDIT,5668.87,,
DEBIT,06/09/2025,"Zelle payment to KIET 25070360069",-20.00,QUICKPAY_DEBIT,4168.87,,
DEBIT,06/09/2025,"Payment to Chase card ending in 0687 06/09",-91.45,LOAN_PMT,4188.87,,
DEBIT,06/09/2025,"Zelle payment to MIGUEL JPM99bbhw6vi",-185.00,CHASE_TO_PARTNERFI,4280.32,,
DEBIT,06/09/2025,"Zelle payment to A Minh. Chi Mai JPM99bbflndf",-200.00,CHASE_TO_PARTNERFI,4465.32,,
DEBIT,06/09/2025,"Zelle payment to LOAN JPM99bbd3hkr",-280.00,CHASE_TO_PARTNERFI,4665.32,,
DEBIT,06/09/2025,"Zelle payment to REYNIR 25052490622",-100.00,QUICKPAY_DEBIT,4945.32,,
DEBIT,06/09/2025,"Zelle payment to LORI 25052264084",-270.00,QUICKPAY_DEBIT,5045.32,,
DEBIT,06/09/2025,"Zelle payment to WILLIS 25051604517",-510.00,QUICKPAY_DEBIT,5315.32,,
DEBIT,06/05/2025,"Payment to Chase card ending in 8045 06/05",-24.00,LOAN_PMT,5825.32,,
DEBIT,06/02/2025,"Zelle payment to A Polar Bear Entertainment Llc JPM99bam4mpw",-450.00,CHASE_TO_PARTNERFI,5849.32,,
