Transaction Date,Post Date,Description,Category,Type,Amount,Memo
05/05/2026,05/06/2026,eBay O*25-14574-38948,Shopping,Sale,-2850.00,
05/04/2026,05/06/2026,PAYPAL *BUYEE,Shopping,Sale,-607.88,
05/03/2026,05/04/2026,PAYPAL *BUYEE,Shopping,Sale,-76.71,
05/03/2026,05/03/2026,LYFT   *1 RIDE 05-01,Travel,Sale,-18.29,
05/02/2026,05/03/2026,SQ *BUN RIEU GANH,Food & Drink,Sale,-39.74,
04/29/2026,04/30/2026,COMTAMTHIENHAO,Food & Drink,Sale,-25.00,
04/25/2026,04/26/2026,RUN FAIR FEE,Shopping,Sale,-1.49,
04/25/2026,04/26/2026,GRDGUARD* GG LAUNCH,Shopping,Sale,-64.73,
04/21/2026,04/23/2026,SOUTHWES    5262152833928,Travel,Sale,-457.60,
04/21/2026,04/21/2026,Payment Thank You-Mobile,,Payment,2187.71,
04/16/2026,04/19/2026,PAYPAL *BUYEE,Shopping,Sale,-600.60,
04/16/2026,04/17/2026,DD *DOORDASH BAOSHOG,Food & Drink,Sale,-26.72,
04/16/2026,04/17/2026,WWW.PSACARD.COM,Shopping,Sale,-114.97,
04/16/2026,04/17/2026,PAYPAL *BUYEE,Shopping,Sale,-637.27,
04/15/2026,04/16/2026,DD *DOORDASH ANUQUAN,Food & Drink,Sale,-25.13,
04/15/2026,04/16/2026,PAYPAL *BUYEE,Shopping,Sale,-783.02,
04/15/2026,04/15/2026,Payment Thank You-Mobile,,Payment,5920.84,
04/14/2026,04/14/2026,eBay O*14-14494-75284,Shopping,Sale,-2055.99,
04/12/2026,04/14/2026,PAYPAL *BUYEE,Shopping,Sale,-1245.52,
04/12/2026,04/13/2026,MITSUWA MARKETPLACE CYPR,Groceries,Sale,-108.25,
04/12/2026,04/13/2026,PAYPAL *BUYEE,Shopping,Sale,-863.30,
04/12/2026,04/13/2026,SQ *YAMARI CYPRESS,Shopping,Sale,-9.37,
04/12/2026,04/13/2026,SQ *J.SWEETS CYPRESS,Shopping,Sale,-47.98,
04/11/2026,04/12/2026,FUSION CORNER,Food & Drink,Sale,-21.43,
04/11/2026,04/12/2026,PAYPAL *BUYEE,Shopping,Sale,-732.60,
04/09/2026,04/12/2026,PAYPAL *BUYEE,Shopping,Sale,-801.02,
04/09/2026,04/12/2026,THE UPS STORE 7565,Personal,Sale,-15.00,
04/09/2026,04/09/2026,Payment Thank You-Mobile,,Payment,1583.11,
04/07/2026,04/09/2026,TST*PICKLED BANH MI CO.,Food & Drink,Sale,-20.38,
04/07/2026,04/08/2026,COSTCO WHSE #0748,Shopping,Sale,-83.88,
04/05/2026,04/07/2026,SONG HY SUPERMARKET,Groceries,Sale,-145.36,
04/06/2026,04/06/2026,Payment Thank You-Mobile,,Payment,3000.00,
04/05/2026,04/06/2026,BANH MI THANHTAM,Food & Drink,Sale,-20.25,
04/02/2026,04/03/2026,Payment Thank You-Mobile,,Payment,4500.00,
04/01/2026,04/02/2026,DOORDASH*03/31-2 ORDER,Food & Drink,Sale,-28.15,
04/01/2026,04/01/2026,Payment Thank You-Mobile,,Payment,5000.00,
03/26/2026,03/26/2026,WWW.PSACARD.COM,Shopping,Sale,-955.65,
03/25/2026,03/25/2026,WWW.PSACARD.COM,Shopping,Sale,-87.48,
03/24/2026,03/25/2026,WWW.PSACARD.COM,Shopping,Sale,-642.95,
03/20/2026,03/22/2026,WWW.PSACARD.COM,Shopping,Sale,-202.47,
03/20/2026,03/22/2026,WWW.PSACARD.COM,Shopping,Sale,-4371.68,
03/18/2026,03/19/2026,WWW.PSACARD.COM,Shopping,Sale,-5032.98,
03/18/2026,03/19/2026,WWW.PSACARD.COM,Shopping,Sale,-1864.35,
03/13/2026,03/13/2026,Payment Thank You-Mobile,,Payment,2285.45,
03/13/2026,03/13/2026,WWW.PSACARD.COM,Shopping,Sale,-647.91,
03/07/2026,03/09/2026,INTERCONTINENTAL OSAKA,Travel,Sale,-428.96,
03/06/2026,03/08/2026,EBAY O*09-14331-07233,Shopping,Sale,-1805.89,
03/02/2026,03/04/2026,JR EAST,Travel,Sale,-39.48,
03/02/2026,03/04/2026,JR EAST,Travel,Sale,-11.12,
03/03/2026,03/03/2026,Payment Thank You-Mobile,,Payment,6003.02,
02/28/2026,03/01/2026,PAYPAL *LUISCONTRERASCH,Professional Services,Sale,-2660.00,
02/28/2026,03/01/2026,EBAY O*24-14295-64758,Shopping,Sale,-2037.02,
02/25/2026,02/26/2026,EBAY O*02-14300-19039,Shopping,Sale,-1306.00,
02/25/2026,02/25/2026,Payment Thank You-Mobile,,Payment,319.95,
02/23/2026,02/24/2026,WWW.PSACARD.COM,Shopping,Sale,-319.95,
02/20/2026,02/20/2026,Payment Thank You-Mobile,,Payment,1433.85,
02/18/2026,02/18/2026,WWW.PSACARD.COM,Shopping,Sale,-800.86,
02/16/2026,02/17/2026,WWW.PSACARD.COM,Shopping,Sale,-632.99,
02/16/2026,02/16/2026,Payment Thank You-Mobile,,Payment,2077.16,
02/14/2026,02/15/2026,WWW.PSACARD.COM,Shopping,Sale,-566.20,
02/14/2026,02/15/2026,WWW.PSACARD.COM,Shopping,Sale,-424.65,
02/13/2026,02/15/2026,WWW.PSACARD.COM,Shopping,Sale,-425.60,
02/12/2026,02/13/2026,DD *DOORDASH BAOSHOG,Food & Drink,Sale,-26.72,
02/12/2026,02/12/2026,Payment Thank You-Mobile,,Payment,1595.15,
02/11/2026,02/12/2026,WWW.PSACARD.COM,Shopping,Sale,-633.99,
02/10/2026,02/10/2026,Payment Thank You-Mobile,,Payment,1672.76,
02/10/2026,02/10/2026,WWW.PSACARD.COM,Shopping,Sale,-1595.15,
02/07/2026,02/09/2026,PAYPAL *BUYEE,Shopping,Sale,-1022.42,
02/08/2026,02/09/2026,PAYPAL *BUYEE,Shopping,Sale,-650.34,
02/06/2026,02/06/2026,Payment Thank You-Mobile,,Payment,1686.15,
02/04/2026,02/05/2026,PAYPAL *BUYEE,Shopping,Sale,-495.18,
02/03/2026,02/05/2026,STARBUCKS STORE 06576,Food & Drink,Sale,-12.40,
02/03/2026,02/04/2026,PAYPAL *BUYEE,Shopping,Sale,-580.01,
02/03/2026,02/04/2026,PAYPAL *BUYEE,Shopping,Sale,-498.89,
01/30/2026,02/02/2026,AZUMA JAPANESE RESTAUR,Food & Drink,Sale,-99.00,
01/31/2026,02/01/2026,CL *Chase Travel,Travel,Sale,-50.67,
02/01/2026,02/01/2026,ANNUAL HOTEL CREDIT,Fees & Adjustments,Adjustment,50.00,
01/30/2026,01/30/2026,Payment Thank You-Mobile,,Payment,2680.16,
01/28/2026,01/29/2026,PAYPAL *BUYEE,Shopping,Return,377.92,
01/28/2026,01/29/2026,PAYPAL *BUYEE,Shopping,Return,377.92,
01/28/2026,01/29/2026,PAYPAL *BUYEE,Shopping,Sale,-104.50,
01/28/2026,01/29/2026,PAYPAL *BUYEE,Shopping,Sale,-432.34,
01/28/2026,01/29/2026,PAYPAL *BUYEE,Shopping,Return,377.92,
01/27/2026,01/28/2026,PAYPAL *BUYEE,Shopping,Sale,-425.41,
01/27/2026,01/28/2026,PAYPAL *BUYEE,Shopping,Sale,-480.65,
01/27/2026,01/28/2026,PAYPAL *BUYEE,Shopping,Sale,-391.59,
01/27/2026,01/28/2026,PAYPAL *BUYEE,Shopping,Sale,-412.93,
01/27/2026,01/28/2026,PAYPAL *BUYEE,Shopping,Sale,-425.41,
01/26/2026,01/26/2026,AUTOMATIC PAYMENT - THANK,,Payment,28.10,
01/20/2026,01/21/2026,CL *Chase Travel,Travel,Sale,-875.93,
01/19/2026,01/20/2026,COMTAMTHIENHAO,Food & Drink,Sale,-23.00,
01/20/2026,01/20/2026,LYFT   *1 RIDE 01-18,Travel,Sale,-53.97,
01/18/2026,01/20/2026,TST*FUKAGAWA,Food & Drink,Sale,-69.89,
01/17/2026,01/18/2026,LYFT   *1 RIDE 01-15,Travel,Sale,-43.65,
01/18/2026,01/18/2026,LYFT   *2 RIDES 01-16,Travel,Sale,-31.09,
01/16/2026,01/18/2026,STAMP66 BAR MARRIOTT,Travel,Sale,-11.99,
01/16/2026,01/18/2026,RAMEN HAKATA,Food & Drink,Sale,-23.57,
01/05/2026,01/05/2026,LYFT   *1 RIDE 01-03,Travel,Sale,-8.00,
